,Внешний код,Факт. департамент,Факт. подразделение,Факт. группа,Факт. должность,Является РМ/ТЛ,Стаж фактический по компании,Пол,Возраст
64,SU174745,Департамент инфраструктурных решений и сервисов,группа инженеров по ИТ-инфраструктуре и мониторингу,,Ведущий системный инженер,нет,"3 г., 0 мес.,5 дн.",Мужской,35
65,SU142070,Департамент инфраструктурных решений и сервисов,группа управления сервисными проектами,,Ведущий сервис-менеджер,нет,"4 г., 6 мес.,25 дн.",Мужской,33
73,SU196770,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа веб разработки облака,Инженер-разработчик,нет,"1 г., 4 мес.,16 дн.",Мужской,22
75,SU3169,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа тестировщиков,Менеджер по тестированию,нет,"21 г., 0 мес.,3 дн.",Женский,40
78,SU196818,Департамент внутренней автоматизации,,центральная служба технической поддержки,Инженер технической поддержки,нет,"1 г., 4 мес.,17 дн.",Мужской,22
89,SU159836,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа разработки облака,Ведущий инженер-разработчик,нет,"3 г., 7 мес.,16 дн.",Мужской,25
91,SU198277,Департамент телекоммуникаций,,группа унифицированных коммуникаций,Специалист по продвижению решений,нет,"0 г., 8 мес.,6 дн.",Женский,33
93,SU190623,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа инженеров технической поддержки по информационной безопасности,Старший инженер технической поддержки,нет,"2 г., 1 мес.,20 дн.",Мужской,26
96,SU197014,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа поддержки и эксплуатации систем в ЦОД,Дежурный инженер ЦОД,нет,"1 г., 3 мес.,8 дн.",Мужской,23
101,SU197785,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа веб разработки облака,Инженер-разработчик,нет,"0 г., 11 мес.,18 дн.",Мужской,28
102,SU168659,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа инженеров технической поддержки по информационной безопасности,Старший инженер технической поддержки,нет,"3 г., 1 мес.,19 дн.",Мужской,26
110,SU82781,Департамент разработки программного обеспечения,Государственные информационные системы,росстат. группа разработчиков,Старший инженер-разработчик,нет,"9 г., 1 мес.,2 дн.",Мужской,33
131,SU164709,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа поддержки и эксплуатации систем в ЦОД,Старший дежурный инженер ЦОД,нет,"3 г., 3 мес.,24 дн.",Мужской,23
133,SU197457,Департамент бизнес-приложений,,Группа консультантов по автоматизации бизнес-процессов,Младший консультант по внедрению бизнес-приложений,нет,"1 г., 1 мес.,7 дн.",Мужской,21
138,SU175059,Департамент инфраструктурных решений и сервисов,группа инженеров по ИТ-инфраструктуре и мониторингу,,"Старший системный инженер, Тимлид",ТЛ,"2 г., 11 мес.,30 дн.",Мужской,32
139,SU441,Химкинское обособленное подразделение,,,Инженер,нет,"18 г., 0 мес.,9 дн.",Мужской,46
141,SU152463,Департамент бизнес-приложений,,группа консультантов по технической архитектуре и разработке,Ведущий консультант по внедрению бизнес-приложений,нет,"4 г., 0 мес.,6 дн.",Мужской,41
152,SU163954,Департамент по работе с персоналом,отдел рекрутинга,,Старший HR-менеджер,нет,"3 г., 4 мес.,25 дн.",Женский,25
167,SU153929,Департамент инфраструктурных решений и сервисов,группа технических менеджеров по программной инфраструктуре,,"Старший технический менеджер, Тимлид",ТЛ,"3 г., 11 мес.,9 дн.",Мужской,37
174,SU171242,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа разработчиков,Инженер-разработчик,нет,"3 г., 1 мес.,1 дн.",Мужской,24
183,SU134461,Департамент телекоммуникаций,Сервис,группа техподдержки сетей передачи данных,Эксперт,нет,"4 г., 10 мес.,29 дн.",Мужской,35
184,SU116509,Департамент продаж и менеджмента проектов,,группа управления проектами по телекоммуникациям,Старший менеджер проектов,нет,"5 г., 6 мес.,3 дн.",Мужской,33
187,SU3224,Служба сопровождения проектной документации,,,Ведущий технический писатель,нет,"19 г., 0 мес.,8 дн.",Женский,41
190,SU319,Департамент телекоммуникаций,Цифровое производство,группа инженеров цифрового производства,"Эксперт, Руководитель группы",РМ,"18 г., 1 мес.,21 дн.",Мужской,52
199,SU145243,Департамент разработки программного обеспечения,Интеграционные решения,группа разработки,Инженер-тестировщик,нет,"4 г., 4 мес.,8 дн.",Мужской,23
201,SU106878,Департамент продаж и менеджмента проектов,,группа администраторов проектов по ИТ-системам и программным решениям,Старший администратор проектов,нет,"5 г., 11 мес.,11 дн.",Женский,36
204,SU47737,Департамент продаж и менеджмента проектов,,группа администраторов проектов по инженерным и мультимедийным системам,"Ведущий администратор проектов, Тимлид",ТЛ,"12 г., 11 мес.,18 дн.",Женский,38
208,SU165564,Департамент телекоммуникаций,,группа сетевых решений,Системный инженер,нет,"3 г., 3 мес.,24 дн.",Мужской,34
215,SU191167,Департамент бизнес-приложений,,Группа аналитиков и консультантов по внедрению Big Data и BI,Младший консультант по внедрению бизнес-приложений,нет,"2 г., 0 мес.,28 дн.",Женский,23
220,SU331,Департамент разработки программного обеспечения,,группа развития бизнеса,Ведущий инженер-разработчик,нет,"20 г., 1 мес.,17 дн.",Мужской,47
221,SU40491,Департамент телекоммуникаций,Сервис,группа техподдержки сетей передачи данных,"Эксперт, Тимлид",ТЛ,"8 г., 4 мес.,30 дн.",Мужской,36
222,SU83245,Департамент бизнес-приложений,,группа консультантов по хранилищам данных и ETL,Эксперт,нет,"9 г., 0 мес.,20 дн.",Мужской,29
231,SU445,Департамент инженерных и мультимедийных систем,технические менеджеры по инженерным системам,,Технический менеджер,нет,"17 г., 9 мес.,10 дн.",Мужской,39
236,SU197874,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа эксплуатации облачных сервисов,Младший дежурный инженер,нет,"0 г., 10 мес.,27 дн.",Мужской,27
242,SU168925,Департамент продаж и менеджмента проектов,,группа сметчиков,Ведущий инженер-сметчик,нет,"3 г., 2 мес.,15 дн.",Женский,30
243,SU163518,Департамент бизнес-приложений,,группа консультантов по технической архитектуре и разработке,Ведущий консультант по внедрению бизнес-приложений,нет,"3 г., 5 мес.,6 дн.",Мужской,30
244,SU134390,Департамент внутренней автоматизации,,центральная служба технической поддержки,Администратор,нет,"4 г., 11 мес.,11 дн.",Женский,46
248,SU130289,Департамент разработки программного обеспечения,Управление контентом и документооборот,группа разработчиков,Старший инженер-разработчик,нет,"5 г., 0 мес.,24 дн.",Женский,26
252,SU337,Департамент телекоммуникаций,,группа сетевых решений,"Эксперт, Тимлид",ТЛ,"16 г., 11 мес.,3 дн.",Мужской,39
254,SU76490,Департамент внутренней автоматизации,,группа автоматизации производственных процессов,Ведущий системный аналитик,нет,"9 г., 7 мес.,18 дн.",Женский,31
260,SU197784,Департамент инженерных и мультимедийных систем,Группа электроснабжения и климатических систем,,Ведущий инженер,нет,"0 г., 10 мес.,24 дн.",Мужской,43
261,SU449,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа развития бизнеса,Директор по продвижению решений,нет,"17 г., 6 мес.,26 дн.",Мужской,37
262,SU159601,Департамент разработки программного обеспечения,Государственные информационные системы,цифровые экосистемы. группа тестировщиков,Инженер-тестировщик,РМ,"3 г., 7 мес.,24 дн.",Женский,31
271,SU183772,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа поддержки продаж решений по информационной безопасности,Менеджер по продвижению решений,нет,"2 г., 8 мес.,10 дн.",Мужской,28
273,SU148131,Департамент продаж и менеджмента проектов,,группа управления проектами по программному консалтингу,Младший менеджер проектов,нет,"4 г., 2 мес.,8 дн.",Женский,29
274,SU198204,Департамент инфраструктурных решений и сервисов,группа инженеров по инфраструктурному ПО,,Младший системный инженер,нет,"0 г., 8 мес.,13 дн.",Мужской,22
275,SU196455,Департамент инфраструктурных решений и сервисов,Информационная безопасность,Центр мониторинга безопасности,Младший аналитик SOC,нет,"1 г., 6 мес.,15 дн.",Женский,22
282,SU101116,Департамент инфраструктурных решений и сервисов,,группа инженеров поддержки баз данных,"Ведущий системный инженер, Тимлид",ТЛ,"6 г., 4 мес.,21 дн.",Мужской,33
291,SU150226,Департамент бизнес-приложений,,Группа разработки по Data и DWH,Старший инженер-разработчик бизнес-приложений,нет,"4 г., 1 мес.,11 дн.",Женский,33
292,SU197224,Департамент бизнес-приложений,,группа консультантов по финансам,Младший консультант по внедрению бизнес-приложений,нет,"1 г., 2 мес.,15 дн.",Женский,23
296,SU126189,Департамент бизнес-приложений,,Группа аналитиков по автоматизации бизнес-процессов,Ведущий консультант по внедрению бизнес-приложений,РМ,"5 г., 1 мес.,16 дн.",Женский,29
298,SU99835,Департамент продаж и менеджмента проектов,Отдел расчётов с клиентами,,Ведущий специалист,нет,"6 г., 6 мес.,29 дн.",Женский,29
299,SU521,Департамент разработки программного обеспечения,Государственные информационные системы,росстат. группа внедренцев,Ведущий консультант по внедрению,нет,"19 г., 5 мес.,5 дн.",Мужской,42
321,SU164306,Департамент телекоммуникаций,Сервис,группа техподдержки сетей передачи данных,Инженер,нет,"3 г., 4 мес.,15 дн.",Мужской,27
327,SU191051,Департамент бизнес-приложений,,Группа консультантов по автоматизации бизнес-процессов,Младший консультант по внедрению бизнес-приложений,нет,"2 г., 1 мес.,5 дн.",Мужской,23
332,SU77876,Департамент разработки программного обеспечения,Государственные информационные системы,цифровые экосистемы. группа тестировщиков,Менеджер по тестированию,нет,"9 г., 7 мес.,15 дн.",Мужской,35
343,SU90512,Департамент разработки программного обеспечения,Управление контентом и документооборот,группа разработчиков,Ведущий инженер-разработчик,РМ,"7 г., 10 мес.,13 дн.",Мужской,35
355,SU197813,Департамент внутренней автоматизации,,группа разработки 1С,Инженер-разработчик,нет,"0 г., 11 мес.,23 дн.",Мужской,26
356,SU197496,Департамент инфраструктурных решений и сервисов,группа инженеров систем управления ИТ-процессами,,Младший системный инженер,нет,"1 г., 1 мес.,13 дн.",Женский,22
362,SU360,Департамент инфраструктурных решений и сервисов,группа обеспечения сервисных контрактов,,"Ведущий сервис-менеджер, Тимлид",ТЛ,"25 г., 1 мес.,24 дн.",Мужской,58
363,SU85286,Департамент разработки программного обеспечения,Государственные информационные системы,цифровые экосистемы. группа аналитиков и внедренцев,Ведущий аналитик,нет,"8 г., 9 мес.,7 дн.",Женский,51
364,SU361,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа технических менеджеров,Технический менеджер,нет,"17 г., 8 мес.,26 дн.",Мужской,40
370,SU174145,Департамент инфраструктурных решений и сервисов,группа технических менеджеров по вычислительной инфраструктуре,,Старший технический менеджер,нет,"3 г., 0 мес.,14 дн.",Мужской,43
371,SU83196,Департамент бизнес-приложений,,группа консультантов по производству,Ведущий консультант по внедрению бизнес-приложений,нет,"9 г., 0 мес.,13 дн.",Мужской,43
373,SU192588,Департамент инфраструктурных решений и сервисов,группа инженеров технической поддержки,,"Ведущий инженер технической поддержки, Тимлид",ТЛ,"2 г., 0 мес.,12 дн.",Мужской,38
381,SU104206,Департамент бизнес-приложений,группа технических менеджеров по 1С,,Младший технический менеджер,нет,"6 г., 2 мес.,2 дн.",Мужской,31
400,SU166795,Департамент внутренней автоматизации,,группа аналитиков 1С,Системный аналитик,нет,"3 г., 3 мес.,5 дн.",Женский,40
406,SU48759,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа аналитиков,Старший системный аналитик,нет,"12 г., 9 мес.,29 дн.",Мужской,35
432,SU153581,Департамент внутренней автоматизации,,группа разработки бизнес-приложений,Старший инженер-тестировщик,нет,"3 г., 11 мес.,28 дн.",Женский,24
438,SU197074,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа поддержки и эксплуатации систем в ЦОД,Инженер,нет,"1 г., 2 мес.,24 дн.",Мужской,22
453,SU3493,Департамент инфраструктурных решений и сервисов,группа развития бизнеса,,Руководитель практики Технического консалтинга,нет,"18 г., 8 мес.,3 дн.",Мужской,40
458,SU141593,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа тестировщиков,Инженер-тестировщик,нет,"4 г., 7 мес.,9 дн.",Женский,25
475,SU58555,Департамент бизнес-приложений,группа технических менеджеров по 1С,,Старший технический менеджер,нет,"12 г., 1 мес.,8 дн.",Мужской,42
477,SU545,Департамент инженерных и мультимедийных систем,технические менеджеры по инженерным системам,,Технический менеджер,нет,"16 г., 10 мес.,15 дн.",Мужской,41
483,SU547,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа разработчиков,Эксперт,нет,"16 г., 2 мес.,7 дн.",Мужской,36
486,SU197632,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа поддержки и эксплуатации систем в ЦОД,Младший дежурный инженер ЦОД,нет,"1 г., 0 мес.,16 дн.",Мужской,22
494,SU143963,Департамент по работе с персоналом,,Образовательные проекты brainz для студентов и школьников,"Ведущий менеджер по образовательным проектам, Тимлид",РМ,"4 г., 0 мес.,19 дн.",Женский,25
501,SU167742,Департамент телекоммуникаций,Сервис,группа технической поддержки телефонии и Call-центров,Инженер,нет,"3 г., 2 мес.,27 дн.",Женский,25
502,SU152610,Департамент бизнес-приложений,,группа консультантов по технической архитектуре и разработке,Ведущий консультант по внедрению бизнес-приложений,нет,"2 г., 1 мес.,20 дн.",Мужской,37
503,SU94470,Департамент инженерных и мультимедийных систем,технические менеджеры по инженерным системам,,Технический менеджер,нет,"7 г., 0 мес.,2 дн.",Мужской,35
507,SU41485,Департамент инженерных и мультимедийных систем,группа сервиса,,Ведущий инженер,нет,"14 г., 0 мес.,11 дн.",Мужской,39
509,SU193122,Департамент бизнес-приложений,,группа консультантов по производству,Консультант по внедрению бизнес-приложений,нет,"2 г., 0 мес.,8 дн.",Женский,21
512,SU101878,Департамент инфраструктурных решений и сервисов,группа администраторов сервисных проектов,,Старший администратор проектов,нет,"6 г., 4 мес.,11 дн.",Женский,27
517,SU196883,Департамент инфраструктурных решений и сервисов,группа инженеров технической поддержки,,Эксперт,нет,"1 г., 4 мес.,5 дн.",Мужской,47
523,SU154546,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа разработчиков,Старший инженер-разработчик,нет,"3 г., 11 мес.,6 дн.",Женский,26
525,SU40845,Департамент инженерных и мультимедийных систем,группа сервиса,,Старший инженер,нет,"14 г., 1 мес.,25 дн.",Мужской,37
529,SU191100,Департамент инфраструктурных решений и сервисов,группа управления сервисными проектами,,"Технический менеджер сервисных проектов, Тимлид",ТЛ,"2 г., 1 мес.,6 дн.",Мужской,44
530,SU41337,Департамент разработки программного обеспечения,"Практика ""Time and Material""",группа тестировщиков,Ведущий инженер по автоматизации тестирования,нет,"14 г., 0 мес.,21 дн.",Мужской,48
534,SU64421,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа развития бизнеса,Технический менеджер,РМ,"11 г., 7 мес.,5 дн.",Мужской,33
541,SU102439,Департамент инфраструктурных решений и сервисов,группа технических менеджеров по вычислительной инфраструктуре,,Технический менеджер,нет,"6 г., 3 мес.,9 дн.",Мужской,34
542,SU49779,Департамент телекоммуникаций,Сервис,группа управления сервисными проектами,Ведущий сервис-менеджер,нет,"12 г., 7 мес.,20 дн.",Мужской,34
551,SU90939,Департамент инженерных и мультимедийных систем,Группа систем безопасности,,Ведущий инженер,нет,"7 г., 8 мес.,19 дн.",Женский,32
555,SU196489,Департамент инфраструктурных решений и сервисов,группа управления сервисными проектами,,Сервис-менеджер,нет,"1 г., 6 мес.,15 дн.",Женский,29
565,SU177598,Финансовый департамент,отдел бюджетирования и оптимизации финансового учета,,Экономист,нет,"2 г., 10 мес.,19 дн.",Женский,24
567,SU196463,Департамент инфраструктурных решений и сервисов,группа администраторов сервисных проектов,,Старший администратор проектов,нет,"1 г., 6 мес.,22 дн.",Женский,27
571,SU78964,Департамент по работе с персоналом,отдел кадров,,Руководитель группы,РМ,"9 г., 6 мес.,18 дн.",Женский,31
578,SU72083,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа системных инженеров,Ведущий системный инженер,нет,"9 г., 2 мес.,21 дн.",Мужской,33
583,SU43856,Департамент инфраструктурных решений и сервисов,группа инженеров систем управления ИТ-процессами,,Эксперт,нет,"13 г., 6 мес.,14 дн.",Мужской,35
592,SU71,Департамент разработки программного обеспечения,Государственные информационные системы,цифровые экосистемы. группа технических менеджеров,Старший технический менеджер,нет,"19 г., 10 мес.,24 дн.",Мужской,45
600,SU168942,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа инженеров по защите инфраструктуры,Ведущий системный инженер,нет,"3 г., 2 мес.,8 дн.",Мужской,30
601,SU196941,Департамент инженерных и мультимедийных систем,Группа систем безопасности,,Ведущий инженер,нет,"1 г., 3 мес.,8 дн.",Мужской,47
604,SU197183,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа эксплуатации облачных сервисов,Дежурный инженер,нет,"1 г., 2 мес.,18 дн.",Мужской,25
606,SU129589,Департамент внутренней автоматизации,,центральная служба технической поддержки,Руководитель службы,РМ,"5 г., 1 мес.,2 дн.",Мужской,26
607,SU175894,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа разработки облака,Инженер-разработчик,нет,"2 г., 9 мес.,15 дн.",Мужской,25
610,SU134995,Департамент внутренней автоматизации,,центральная служба технической поддержки,Ведущий инженер технической поддержки,нет,"4 г., 10 мес.,27 дн.",Мужской,30
617,SU85478,Департамент внутренней автоматизации,,центральная служба технической поддержки,Старший инженер технической поддержки,нет,"8 г., 8 мес.,17 дн.",Мужской,29
619,SU196527,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа разработки,Системный архитектор,нет,"1 г., 5 мес.,23 дн.",Мужской,41
625,SU161947,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа внедренцев,Консультант по внедрению,нет,"3 г., 6 мес.,17 дн.",Женский,21
628,SU196694,Департамент маркетинга,контакт-центр,,Старший оператор,нет,"1 г., 5 мес.,9 дн.",Женский,22
642,SU197936,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа эксплуатации облачных сервисов,Младший дежурный инженер,нет,"0 г., 10 мес.,11 дн.",Мужской,22
645,SU3067,Департамент разработки программного обеспечения,"Практика ""Time and Material""",,Технический менеджер,нет,"16 г., 4 мес.,7 дн.",Мужской,41
648,SU161990,Департамент инфраструктурных решений и сервисов,,группа SRE-инженеров,Старший инженер,нет,"3 г., 6 мес.,13 дн.",Мужской,38
652,SU176258,Департамент внутренней автоматизации,,центральная служба технической поддержки,Инженер технической поддержки,нет,"2 г., 11 мес.,15 дн.",Мужской,26
665,SU43520,Департамент телекоммуникаций,Сервис,группа управления сервисными проектами,Технический менеджер,нет,"13 г., 7 мес.,21 дн.",Мужской,40
677,SU40133,Департамент разработки программного обеспечения,Государственные информационные системы,росстат. группа аналитиков,Руководитель группы,нет,"14 г., 3 мес.,19 дн.",Мужской,36
684,SU155069,Департамент бизнес-приложений,,Группа аналитиков и консультантов по внедрению Big Data и BI,Консультант по внедрению бизнес-приложений,нет,"3 г., 10 мес.,25 дн.",Женский,27
687,SU184169,Департамент инженерных и мультимедийных систем,Группа СКС и Автоматизации инженерных систем,,Младший инженер,нет,"2 г., 8 мес.,11 дн.",Мужской,23
688,SU197536,Департамент бизнес-приложений,,Группа аналитиков по автоматизации бизнес-процессов,Младший консультант по внедрению бизнес-приложений,нет,"1 г., 1 мес.,6 дн.",Женский,22
691,SU190825,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа технических менеджеров по информационной безопасности,Младший технический менеджер,нет,"2 г., 1 мес.,13 дн.",Мужской,32
693,SU197671,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа продвижения решений,Менеджер по продвижению решений,нет,"1 г., 0 мес.,16 дн.",Мужской,30
698,SU3297,Департамент разработки программного обеспечения,Продуктовый офис,,Менеджер продукта,нет,"16 г., 9 мес.,16 дн.",Женский,40
700,SU121314,Департамент продаж и менеджмента проектов,,группа администраторов проектов по ИТ-системам и программным решениям,Старший администратор проектов,нет,"5 г., 3 мес.,24 дн.",Женский,27
701,SU198314,Департамент инфраструктурных решений и сервисов,,группа инженеров поддержки инфраструктурного ПО,Младший инженер технической поддержки,нет,"0 г., 8 мес.,6 дн.",Мужской,21
702,SU157951,Департамент бизнес-приложений,группа технических менеджеров по 1С,,Технический менеджер,нет,"3 г., 1 мес.,22 дн.",Женский,40
722,SU195522,Департамент продаж и менеджмента проектов,,группа управления проектами развития бизнес-процессов,Менеджер проектов,нет,"1 г., 9 мес.,9 дн.",Мужской,33
724,SU1575,Департамент разработки программного обеспечения,Управление контентом и документооборот,группа внедренцев,Менеджер по внедрению,нет,"17 г., 7 мес.,29 дн.",Мужской,41
725,SU3502,Департамент инфраструктурных решений и сервисов,группа инженеров по ИТ-инфраструктуре и мониторингу,,"Старший технический менеджер, Руководитель группы",РМ,"19 г., 10 мес.,13 дн.",Мужской,47
727,SU197899,Департамент телекоммуникаций,Сервис,Первая линия,Стажер,нет,"0 г., 10 мес.,17 дн.",Женский,24
728,SU193840,Административно-эксплуатационный департамент,"Служба охраны труда, пожарной безопасности и гражданской обороны",,Младший специалист по охране труда,нет,"1 г., 11 мес.,25 дн.",Женский,23
733,SU40630,Департамент разработки программного обеспечения,Корпоративные информационные системы,"Практика ""Медицинские информационные системы""",Руководитель практики,РМ,"14 г., 2 мес.,24 дн.",Мужской,57
738,SU42801,Департамент разработки программного обеспечения,,группа системных инженеров,Ведущий системный инженер,нет,"13 г., 7 мес.,16 дн.",Мужской,44
739,SU197273,Департамент инфраструктурных решений и сервисов,группа инженеров по инфраструктурному ПО,,Младший системный инженер,нет,"1 г., 2 мес.,4 дн.",Мужской,22
741,SU196614,Департамент инженерных и мультимедийных систем,группа инженеров по мультимедийным системам,,Системный инженер,нет,"1 г., 5 мес.,15 дн.",Мужской,35
742,SU196995,Департамент разработки программного обеспечения,Государственные информационные системы,суды. группа тестировщиков,Младший инженер-тестировщик,нет,"1 г., 2 мес.,1 дн.",Женский,24
743,SU93218,Департамент маркетинга,группа маркетологов,,Ведущий менеджер по отраслевому маркетингу,нет,"7 г., 2 мес.,25 дн.",Женский,34
761,SU196069,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа поддержки продаж решений по информационной безопасности,Менеджер по продвижению решений,РМ,"1 г., 9 мес.,2 дн.",Мужской,33
764,SU198080,Департамент инфраструктурных решений и сервисов,группа пресейл-инженеров,,Младший пресейл-инженер,нет,"0 г., 9 мес.,10 дн.",Мужской,21
768,SU1718,Склад,,,Заведующий складом,нет,"20 г., 9 мес.,4 дн.",Мужской,50
774,SU89907,Департамент разработки программного обеспечения,Государственные информационные системы,росстат.группа тестировщиков,Старший инженер-тестировщик,нет,"7 г., 11 мес.,1 дн.",Мужской,31
776,SU130468,Департамент телекоммуникаций,,группа технических менеджеров,Младший технический менеджер,нет,"5 г., 0 мес.,9 дн.",Женский,28
786,SU189491,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа разработчиков,Инженер-разработчик,нет,"2 г., 2 мес.,17 дн.",Женский,23
