,Дата оформления заказа,Код сотрудника,Департамент,Наименование товара,Стоимость в валюте,Скидка,Количество,Категория,Статус товара
263,06.10.2024 14:36,SU169156,ДБП.группа поддержки продаж,"Значок ""Компас""",0,0,1,Лучше вместе,на витрине
264,06.10.2024 14:35,SU169156,ДБП.группа поддержки продаж,Карта Кроковца,0,0,1,Мерч и сувениры КРОК,закончился
266,05.10.2024 21:43,SU197049,ДРПО.ГИС.выборы. группа разработчиков,Картхолдер,0,0,1,Мерч и сувениры КРОК,закончился
268,05.10.2024 12:24,SU159886,ДТК.группа технических менеджеров,Рюкзак,0,0,1,Мерч и сувениры КРОК,закончился
275,04.10.2024 18:49,SU197176,ДИРС.группа инженеров по инфраструктурному ПО,Кимоно КРОК х Humanist,2500,0,1,Мерч и сувениры КРОК,закупка
276,04.10.2024 17:56,SU183772,ДИРС.Информационная безопасность.группа поддержки продаж решений по информационной безопасности,Рубашка КРОК х Humanist,1900,0,1,Мерч и сувениры КРОК,закупка
277,04.10.2024 17:55,SU183772,ДИРС.Информационная безопасность.группа поддержки продаж решений по информационной безопасности,Футболка КРОК х Humanist,800,0,1,Мерч и сувениры КРОК,закупка
280,04.10.2024 17:39,SU101116,ДИРС.группа инженеров поддержки баз данных,Панама КРОК х Humanist,1100,0,1,Мерч и сувениры КРОК,закупка
281,04.10.2024 15:40,SU176088,ДМ.группа контента,Кимоно КРОК х Humanist,2500,0,1,Мерч и сувениры КРОК,закупка
282,04.10.2024 15:06,SU197176,ДИРС.группа инженеров по инфраструктурному ПО,Лента,0,0,1,Мерч и сувениры КРОК,закончился
283,04.10.2024 14:52,SU172684,ПД.группа комплексного сопровождения проектов,Бобер-антистресс,250,0,1,Мерч и сувениры КРОК,закончился
284,04.10.2024 14:52,SU172684,ПД.группа комплексного сопровождения проектов,Свитшот SOFT `24,1400,0,1,В стиле КРОК,закончился
287,04.10.2024 14:26,SU139631,ДИРС.группа администраторов сервисных проектов,Олимпийка SOFT `24,2000,0,1,В стиле КРОК,на витрине
289,04.10.2024 14:11,SU41554,ДБП.группа консультантов по финансам,Футболка К2Тех ,0,0,1,Мерч и сувениры КРОК,закупка
294,04.10.2024 12:36,SU101142,ДИРС.группа инженеров по вычислительной инфраструктуре,Толстовка HARD `24,2000,0,1,В стиле КРОК,на витрине
295,04.10.2024 12:04,SU165854,ДИРС.группа клиентского сервиса,Кофе КРОК ,150,0,1,Сервис,закончился
302,04.10.2024 10:17,SU128194,ДРПО.ГИС.росстат. группа разработчиков,Карта Кроковца,0,0,1,Мерч и сувениры КРОК,закончился
303,04.10.2024 10:06,SU180313,"ДРПО.Практика ""Time and Material"".группа разработчиков",Носки SOFT&HARD '24,230,0,1,Мерч и сувениры КРОК,закупка
305,03.10.2024 22:10,SU142070,ДИРС.группа управления сервисными проектами,Лонгслив КРОК х Humanist,1300,0,1,Мерч и сувениры КРОК,закупка
306,03.10.2024 21:56,SU197140,ДИМС.Группа электроснабжения и климатических систем,Лонгслив КРОК х Humanist,1300,0,1,Мерч и сувениры КРОК,закупка
307,03.10.2024 20:07,SU57739,ДПМП.группа управления проектами по техническому консалтингу,Побег из города,0,0,1,Без категории,закончился
308,03.10.2024 20:07,SU181093,Отдел подготовки тендеров,Карта Кроковца,0,0,1,Мерч и сувениры КРОК,закончился
309,03.10.2024 19:46,SU93687,ФД.отдел бюджетирования и оптимизации финансового учета,Карта Кроковца,0,0,1,Мерч и сувениры КРОК,закончился
312,03.10.2024 19:12,SU181772,ДПМП.группа управления проектами и поддержки продаж,Рюкзак,0,0,1,Мерч и сувениры КРОК,закончился
313,03.10.2024 19:11,SU181772,ДПМП.группа управления проектами и поддержки продаж,Карта Кроковца,0,0,1,Мерч и сувениры КРОК,закончился
314,03.10.2024 18:30,SU84101,ДРП.отдел кадров,Рубашка в стиле creative-casual,0,0,1,Мерч и сувениры КРОК,закончился
317,03.10.2024 17:48,SU197607,ДТК.Сервис.группа техподдержки сетей передачи данных,Кофе КРОК ,150,0,1,Сервис,закончился
318,03.10.2024 17:29,SU196845,ДИРС.группа инженеров технической поддержки,Футболка К2Тех ,0,0,1,Мерч и сувениры КРОК,закупка
327,03.10.2024 16:56,SU149121,ДБП.группа аналитиков и консультантов по внедрению Big Data и BI,Футболка К2Тех ,0,0,1,Мерч и сувениры КРОК,закупка
329,03.10.2024 16:23,SU163247,ДБП.группа консультантов по финансам,Джинсовая рубашка HARD `24,4500,0,1,В стиле КРОК,на витрине
345,03.10.2024 13:58,SU135732,ДИРС.Разработка инфраструктурных продуктов.группа продвижения решений,Лонгслив КРОК х Humanist,1300,0,1,Мерч и сувениры КРОК,закупка
353,03.10.2024 12:55,SU189155,ДИРС.группа инженеров по инфраструктурному ПО,Карта Кроковца,0,0,1,Мерч и сувениры КРОК,закончился
359,03.10.2024 12:07,SU171222,ДПМП.группа управления проектами и поддержки продаж,Футболка КРОК х Humanist,800,0,1,Мерч и сувениры КРОК,закупка
361,03.10.2024 12:01,SU196995,ДРПО.ГИС.суды. группа тестировщиков,Лента,0,0,1,Мерч и сувениры КРОК,закончился
362,03.10.2024 12:01,SU196995,ДРПО.ГИС.суды. группа тестировщиков,Лонгслив КРОК х Humanist,1300,0,1,Мерч и сувениры КРОК,закупка
364,03.10.2024 11:46,SU190424,ДТК.Сервис.инженеры технической поддержки (аутсорсинг),Футболка HARD `24,950,0,1,В стиле КРОК,на витрине
367,03.10.2024 11:24,SU85478,ДВА.центральная служба технической поддержки,Кофе КРОК ,150,0,1,Сервис,закончился
373,03.10.2024 10:46,SU80746,ДИРС.Облачные сервисы.группа инженеров разработки облака,Картхолдер,0,0,1,Мерч и сувениры КРОК,закончился
374,03.10.2024 10:29,SU196567,ДВА.группа автоматизации производственных процессов,Олимпийка SOFT `24,2000,0,1,В стиле КРОК,на витрине
375,03.10.2024 10:14,SU146744,ДПМП.группа администраторов BackOffice,Кофе КРОК ,150,0,1,Сервис,закончился
376,03.10.2024 10:12,SU197936,ДИРС.Облачные сервисы.группа эксплуатации облачных сервисов,Рубашка КРОК х Humanist,1900,0,1,Мерч и сувениры КРОК,закупка
377,03.10.2024 10:04,SU189733,ДИРС.Облачные сервисы.группа эксплуатации облачных сервисов,Рубашка КРОК х Humanist,1900,0,1,Мерч и сувениры КРОК,закупка
378,03.10.2024 9:52,SU181093,Отдел подготовки тендеров,Рубашка в стиле creative-casual,0,0,1,Мерч и сувениры КРОК,закончился
379,03.10.2024 8:49,SU180313,"ДРПО.Практика ""Time and Material"".группа разработчиков",Носки SOFT&HARD '24,230,0,1,Мерч и сувениры КРОК,закупка
380,03.10.2024 8:43,SU180313,"ДРПО.Практика ""Time and Material"".группа разработчиков",Панама КРОК х Humanist,1100,0,1,Мерч и сувениры КРОК,закупка
382,02.10.2024 23:44,SU2531,ДРПО.ГИС.росстат. группа технических менеджеров,Рубашка КРОК х Humanist,1900,0,1,Мерч и сувениры КРОК,закупка
383,02.10.2024 22:53,SU196289,ДМ.группа маркетологов,Картхолдер,0,0,1,Мерч и сувениры КРОК,закончился
384,02.10.2024 22:52,SU196289,ДМ.группа маркетологов,"Значок ""Маяк""",0,0,1,Лучше вместе,на витрине
386,02.10.2024 22:30,SU171484,ДБП.группа консультантов по финансам,Рубашка КРОК х Humanist,1900,0,1,Мерч и сувениры КРОК,закупка
387,02.10.2024 21:33,SU173967,ДРПО.ГИС.выборы. группа внедренцев,Кимоно КРОК х Humanist,2500,0,1,Мерч и сувениры КРОК,закупка
388,02.10.2024 21:08,SU196997,ДРПО.группа системных инженеров,Рубашка КРОК х Humanist,1900,0,1,Мерч и сувениры КРОК,закупка
389,02.10.2024 20:42,SU106862,ДИРС.Информационная безопасность.группа инженеров по защите инфраструктуры,Олимпийка SOFT `24,2000,0,1,В стиле КРОК,на витрине
391,02.10.2024 19:18,SU236,ДРПО.Управление контентом и документооборот.группа аналитиков,Толстовка HARD `24,2000,0,1,В стиле КРОК,на витрине
392,02.10.2024 19:04,SU197536,ДБП.группа аналитиков по автоматизации бизнес-процессов,Лонгслив КРОК х Humanist,1300,0,1,Мерч и сувениры КРОК,закупка
394,02.10.2024 17:47,SU106947,ДИРС.группа инженеров поддержки инфраструктурного ПО,Толстовка HARD `24,2000,0,1,В стиле КРОК,на витрине
397,02.10.2024 16:59,SU176838,ДВА.центральная служба технической поддержки,Пуф Крок ,3500,0,1,В стиле КРОК,закончился
399,02.10.2024 16:52,SU188752,ДРПО.ГИС.финтех.группа аналитиков,Кофе КРОК ,150,0,1,Сервис,закончился
405,02.10.2024 15:51,SU197019,ДИРС.группа инженеров по вычислительной инфраструктуре,Кофе КРОК ,150,0,1,Сервис,закончился
406,02.10.2024 15:10,SU106878,ДПМП.группа администраторов проектов по ИТ-системам и программным решениям,Лонгслив КРОК х Humanist,1300,0,1,Мерч и сувениры КРОК,закупка
408,02.10.2024 14:57,SU189154,ДИРС.группа инженеров по инфраструктурному ПО,Кофе КРОК ,450,0,3,Сервис,закончился
411,02.10.2024 14:41,SU88160,ДРПО.ГИС.выборы. группа внедренцев,Кимоно КРОК х Humanist,2500,0,1,Мерч и сувениры КРОК,закупка
414,02.10.2024 14:34,SU150841,ДПМП.группа управления проектами развития бизнес-процессов,"Значок ""Маяк""",0,0,1,Лучше вместе,на витрине
417,02.10.2024 14:10,SU42049,ДИРС.группа развития бизнеса,Футболка К2Тех ,0,0,1,Мерч и сувениры КРОК,закупка
421,02.10.2024 13:28,SU131450,ДРПО.ГИС.выборы. группа внедренцев,Кимоно КРОК х Humanist,2500,0,1,Мерч и сувениры КРОК,закупка
423,02.10.2024 13:14,SU93175,ДРПО.ГИС.выборы. группа разработчиков,"Пин ""КРОК""",300,0,1,Мерч и сувениры КРОК,закончился
425,02.10.2024 13:11,SU130789,ДРПО.ГИС.цифровые экосистемы.группа аналитиков и внедренцев,Лонгслив КРОК х Humanist,1300,0,1,Мерч и сувениры КРОК,закупка
427,02.10.2024 13:04,SU83894,ДВА.центральная служба технической поддержки,Кофе КРОК ,150,0,1,Сервис,закончился
428,02.10.2024 13:04,SU3224,Служба сопровождения проектной документации,Футболка КРОК х Humanist,800,0,1,Мерч и сувениры КРОК,закупка
430,02.10.2024 12:59,SU166810,Служба качества,Футболка КРОК х Humanist,800,0,1,Мерч и сувениры КРОК,закупка
432,02.10.2024 12:32,SU89907,ДРПО.ГИС.росстат.группа тестировщиков,Свитшот SOFT `24,1400,0,1,В стиле КРОК,закончился
435,02.10.2024 12:20,SU45502,ДРПО.ГИС.росстат.группа тестировщиков,Ежедневник,0,0,1,Мерч и сувениры КРОК,на витрине
436,02.10.2024 12:20,SU45502,ДРПО.ГИС.росстат.группа тестировщиков,Свитшот SOFT `24,1400,0,1,В стиле КРОК,на витрине
437,02.10.2024 12:20,SU109788,ДРПО.ГИС.росстат.группа тестировщиков,Футболка КРОК х Humanist,800,0,1,Мерч и сувениры КРОК,закупка
439,02.10.2024 12:17,SU45502,ДРПО.ГИС.росстат.группа тестировщиков,Футболка КРОК х Humanist,800,0,1,Мерч и сувениры КРОК,закупка
441,02.10.2024 12:08,SU2644,ДВА.группа системных администраторов,Толстовка HARD `24,2000,0,1,В стиле КРОК,на витрине
448,02.10.2024 11:45,SU3493,ДИРС.группа развития бизнеса,Футболка К2Тех ,0,0,1,Мерч и сувениры КРОК,закупка
452,02.10.2024 11:27,SU97156,ДРП.отдел обучения,Рубашка КРОК х Humanist,1900,0,1,Мерч и сувениры КРОК,закупка
453,02.10.2024 11:19,SU188752,ДРПО.ГИС.финтех.группа аналитиков,Кофе КРОК ,150,0,1,Сервис,закончился
461,02.10.2024 9:33,SU196626,ДТК.группа сетевых решений,Футболка КРОК х Humanist,800,0,1,Мерч и сувениры КРОК,закупка
462,02.10.2024 8:21,SU67486,ДИМС.группа инженеров по мультимедийным системам,Футболка КРОК х Humanist,800,0,1,Мерч и сувениры КРОК,закупка
470,01.10.2024 18:12,SU148681,ДПМП.группа управления проектами развития бизнес-процессов,Свитшот SOFT `24,1400,0,1,В стиле КРОК,на витрине
474,01.10.2024 17:34,SU2101,ДРП.HR-партнеры,Лонгслив КРОК х Humanist,1300,0,1,Мерч и сувениры КРОК,закупка
475,01.10.2024 17:28,SU198194,ДТК.Сервис.Первая линия,Толстовка HARD `24,1700,15,1,В стиле КРОК,на витрине
477,01.10.2024 17:08,SU74488,ДРПО.Интеграционные решения,Футболка К2Тех ,0,0,1,Мерч и сувениры КРОК,закупка
480,01.10.2024 16:31,SU1777,ДТК.группа сетевых решений,E-mail адрес,50,0,1,Сервис,закончился
485,01.10.2024 15:57,SU2362,ДИРС.группа технических менеджеров по вычислительной инфраструктуре,Футболка К2Тех ,0,0,1,Мерч и сувениры КРОК,закупка
489,01.10.2024 15:35,SU1689,ДИРС.группа поддержки продаж решений по вычислительной инфраструктуре,Толстовка HARD `24,2000,0,1,В стиле КРОК,на витрине
490,01.10.2024 15:30,SU1689,ДИРС.группа поддержки продаж решений по вычислительной инфраструктуре,Рубашка в стиле creative-casual,0,0,1,Мерч и сувениры КРОК,закончился
491,01.10.2024 15:28,SU196706,ДИРС.Информационная безопасность.группа поддержки продаж решений по информационной безопасности,Кимоно КРОК х Humanist,2500,0,1,Мерч и сувениры КРОК,закупка
492,01.10.2024 15:26,SU196614,ДИМС.группа инженеров по мультимедийным системам,Футболка HARD `24,950,0,1,В стиле КРОК,на витрине
493,01.10.2024 15:20,SU101142,ДИРС.группа инженеров по вычислительной инфраструктуре,Футболка КРОК х Humanist,800,0,1,Мерч и сувениры КРОК,закупка
494,01.10.2024 15:20,SU146600,ДИРС.Информационная безопасность.группа поддержки продаж решений по информационной безопасности,Футболка КРОК х Humanist,800,0,1,Мерч и сувениры КРОК,закупка
495,01.10.2024 15:20,SU101142,ДИРС.группа инженеров по вычислительной инфраструктуре,Футболка SOFT `24,950,0,1,В стиле КРОК,на витрине
496,01.10.2024 15:19,SU101142,ДИРС.группа инженеров по вычислительной инфраструктуре,Олимпийка SOFT `24,2000,0,1,В стиле КРОК,на витрине
497,01.10.2024 15:19,SU196741,ДИРС.Информационная безопасность.группа поддержки продаж решений по информационной безопасности,Футболка КРОК х Humanist,800,0,1,Мерч и сувениры КРОК,закупка
499,01.10.2024 14:57,SU2546,ДИРС.группа инженеров по инфраструктурному ПО,Футболка К2Тех ,0,0,1,Мерч и сувениры КРОК,закупка
501,01.10.2024 14:46,SU196505,ДИРС.группа разработки частных облаков,Лента,0,0,1,Мерч и сувениры КРОК,закончился
503,01.10.2024 14:36,SU106862,ДИРС.Информационная безопасность.группа инженеров по защите инфраструктуры,Ежедневник,0,0,1,Мерч и сувениры КРОК,на витрине
507,01.10.2024 14:27,SU180025,ДВА.группа аналитиков 1С,Карта Кроковца,0,0,1,Мерч и сувениры КРОК,закончился
509,01.10.2024 14:21,SU80706,ДРПО.ГИС.суды. группа аналитиков и внедренцев,Футболка КРОК х Humanist,800,0,1,Мерч и сувениры КРОК,закупка
513,01.10.2024 14:10,SU197051,ДРП.отдел рекрутинга,Лонгслив КРОК х Humanist,1300,0,1,Мерч и сувениры КРОК,закупка
516,01.10.2024 14:04,SU167962,ДРПО.Управление контентом и документооборот.группа аналитиков,Кимоно КРОК х Humanist,2500,0,1,Мерч и сувениры КРОК,закупка
519,01.10.2024 13:52,SU196758,ДВА.группа разработки бизнес-приложений,Футболка КРОК х Humanist,800,0,1,Мерч и сувениры КРОК,закупка
